,production_budget,worldwide_gross
1210,13000000,6276869
1211,3000000,101773
1212,75000000,73521587
1213,33000000,8408835
1214,20700000,2840417
1215,14000000,6552255
1216,8500000,17202854
1217,66000000,211700000
1218,15000000,4023741
1219,2000000,1152411
1220,50000000,161626121
1221,6000000,4398989
1222,30000000,176885658
1223,11000000,75803716
1224,1350000,28356188
1225,68000000,60265197
1226,48000000,151463090
1227,21000000,36882378
1228,14000000,14395874
1229,115000000,1027044677
1230,15000000,8322608
1231,375000,617172
1232,42000000,363728226
1233,16000000,11810854
1234,4000000,399793
1235,68000000,33462011
1236,48000000,124304264
1237,40000000,672806292
1238,10000000,836641
1239,145000000,448191819
1240,60000000,149705852
1241,10700000,31341183
1242,1750000,22879194
1243,30000000,228641283
1244,175000000,221229335
1245,21000000,52037603
1246,80000000,416385488
1247,24000000,16304786
1248,600000,248300000
1249,65000000,104267443
1250,27000000,31770413
1251,6000000,25059640
1252,4000000,34145
1253,80000000,180188905
1254,75000000,97387965
1255,10000000,10571408
1256,60000000,165048228
1257,70000000,310138178
1258,500000,1027228
1259,250000,20628
1260,64000000,63200000
1261,14000000,30628981
1262,10000000,6030047
1263,2000000,20741000
1264,700000,10508
1265,32000000,2899970
1266,55000000,98699769
1267,25000000,11115766
1268,16000000,5825314
1269,40000000,53864342
1270,40000000,10717421
1271,7000000,15471229
1272,125000000,61698899
1273,34000000,10672566
1274,22000000,9818792
1275,15000000,11614954
1276,7000000,2165637
1277,5700000,69582
1278,6500000,28383441
1279,1600000,6026908
1280,21500000,24419219
1281,12000000,234723148
1282,15000000,356258047
1283,50000000,46112640
1284,36000000,117448157
1285,12000000,178287
1286,3500000,9871
1287,250000,178095
1288,40000000,177835231
1289,28700000,4559569
1290,18000000,229311
1291,15000000,4956401
1292,35000000,310332636
1293,32000000,89441732
1294,12000000,21133087
1295,4000000,2793776
1296,30000000,163644662
1297,13000000,5871603
1298,60000000,290701374
1299,18000000,92935067
1300,11900000,81897
1301,65000000,100851897
1302,50000000,27100030
1303,10000000,6197866
1304,7200000,12678312
1305,32000000,16640210
1306,21000000,17396
1307,20000000,10570375
1308,15000000,1954202
1309,9000000,34572780
1310,6500000,10155691
1311,500000,2047570
1312,20000000,150350000
1313,19000000,65090541
1314,13000000,32382381
1315,3250000,7680
1316,10000000,10019109
1317,135000000,361730660
1318,90000000,511358276
1319,70000000,207068340
1320,100000000,212026975
1321,35000000,630779
1322,27000000,4485485
1323,312000,1788168
1324,60000000,36850101
1325,35000000,26613620
1326,30000000,52880016
1327,4500000,5428387
1328,40000000,13508635
1329,30000000,11578022
1330,21000000,17760244
1331,13000000,27151490
1332,10000000,15164492
1333,3000000,9017070
1334,50000000,14271297
1335,23000000,18653615
1336,15000000,1970268
1337,10000000,43948865
1338,105000000,298815224
1339,90000000,87420776
1340,75000000,39251128
1341,37000000,48446802
1342,20000000,6201757
1343,24000000,28871190
